d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_3_10_15_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
start_hybrid_averaging_iterations: 10
local_train_iterations: 15
Iter:0| MAE:2.5823426| RMSE:2.8127823
Iter:1| MAE:2.5823426| RMSE:2.8127823
Iter:2| MAE:2.5823426| RMSE:2.8127823
Iter:3| MAE:2.5823426| RMSE:2.8127823
Iter:4| MAE:2.5823426| RMSE:2.8127823
Iter:5| MAE:2.5823426| RMSE:2.8127823
Iter:6| MAE:2.5823426| RMSE:2.8127823
Iter:7| MAE:2.5823426| RMSE:2.8127823
Iter:8| MAE:2.336113| RMSE:2.547345
Iter:9| MAE:0.8370406| RMSE:1.0979769
Iter:10| MAE:0.9666073| RMSE:1.1516253
Iter:11| MAE:0.85283154| RMSE:1.116452
Iter:12| MAE:0.8999346| RMSE:1.0790216
Iter:13| MAE:0.75275713| RMSE:0.9734558
Iter:14| MAE:0.75773174| RMSE:0.9424906
Iter:15| MAE:0.7358593| RMSE:0.93205976
Iter:16| MAE:0.7360506| RMSE:0.92838967
Iter:17| MAE:0.7337767| RMSE:0.9262842
Iter:18| MAE:0.7324424| RMSE:0.9246901
Iter:19| MAE:0.7313928| RMSE:0.92344636
Iter:20| MAE:0.730556| RMSE:0.92247856
Iter:21| MAE:0.729887| RMSE:0.92168736
Iter:22| MAE:0.7293354| RMSE:0.9210393
Iter:23| MAE:0.7288679| RMSE:0.92050695
Iter:24| MAE:0.7284887| RMSE:0.92006737
Iter:25| MAE:0.72815645| RMSE:0.919691
Iter:26| MAE:0.7278852| RMSE:0.9193652
Iter:27| MAE:0.72764313| RMSE:0.91909075
Iter:28| MAE:0.7274353| RMSE:0.9188559
Iter:29| MAE:0.72726226| RMSE:0.9186548
Iter:30| MAE:0.727103| RMSE:0.91847616
Iter:31| MAE:0.7269663| RMSE:0.91832274
Iter:32| MAE:0.72684515| RMSE:0.91819197
Iter:33| MAE:0.72674245| RMSE:0.9180774
Iter:34| MAE:0.7266543| RMSE:0.91797596
