d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_3_5_15_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
start_hybrid_averaging_iterations: 5
local_train_iterations: 15
Iter:0| MAE:2.53195| RMSE:2.7700632
Iter:1| MAE:2.53195| RMSE:2.7700632
Iter:2| MAE:2.53195| RMSE:2.7700632
Iter:3| MAE:2.53195| RMSE:2.7700632
Iter:4| MAE:2.53195| RMSE:2.7700632
Iter:5| MAE:2.53195| RMSE:2.7700632
Iter:6| MAE:2.53195| RMSE:2.7700632
Iter:7| MAE:2.53195| RMSE:2.7700632
Iter:8| MAE:2.1883228| RMSE:2.4033544
Iter:9| MAE:0.76559085| RMSE:0.9874591
Iter:10| MAE:0.8057793| RMSE:0.99000764
Iter:11| MAE:0.74942935| RMSE:0.96249104
Iter:12| MAE:0.76717275| RMSE:0.95565546
Iter:13| MAE:0.7449606| RMSE:0.9454173
Iter:14| MAE:0.74923146| RMSE:0.94405276
Iter:15| MAE:0.74661124| RMSE:0.94295883
Iter:16| MAE:0.746445| RMSE:0.9424945
Iter:17| MAE:0.74606526| RMSE:0.9421192
Iter:18| MAE:0.74578035| RMSE:0.9418333
Iter:19| MAE:0.7455508| RMSE:0.94160664
Iter:20| MAE:0.74536526| RMSE:0.9414273
Iter:21| MAE:0.7452156| RMSE:0.94128287
Iter:22| MAE:0.745086| RMSE:0.94115925
Iter:23| MAE:0.74497783| RMSE:0.9410584
Iter:24| MAE:0.74488556| RMSE:0.940977
Iter:25| MAE:0.7448119| RMSE:0.9409059
Iter:26| MAE:0.74474806| RMSE:0.94084364
Iter:27| MAE:0.7446941| RMSE:0.9407951
Iter:28| MAE:0.74464333| RMSE:0.9407508
Iter:29| MAE:0.7446024| RMSE:0.94071317
Iter:30| MAE:0.74457127| RMSE:0.94067955
Iter:31| MAE:0.7445406| RMSE:0.94065005
Iter:32| MAE:0.7445175| RMSE:0.94062525
Iter:33| MAE:0.744497| RMSE:0.94060266
Iter:34| MAE:0.7444781| RMSE:0.9405867
Iter:35| MAE:0.7444642| RMSE:0.94057065
Iter:36| MAE:0.74445057| RMSE:0.9405565
Iter:37| MAE:0.7444377| RMSE:0.940544
Iter:38| MAE:0.7444302| RMSE:0.94053346
Iter:39| MAE:0.7444197| RMSE:0.94052505
Iter:40| MAE:0.7444103| RMSE:0.94051594
Iter:41| MAE:0.7444078| RMSE:0.9405082
Iter:42| MAE:0.74440205| RMSE:0.9404999
Iter:43| MAE:0.7443993| RMSE:0.94049376
Iter:44| MAE:0.7443949| RMSE:0.94049025
Iter:45| MAE:0.74439216| RMSE:0.9404856
Iter:46| MAE:0.74439025| RMSE:0.9404809
Iter:47| MAE:0.74438804| RMSE:0.9404773
Iter:48| MAE:0.74438614| RMSE:0.9404731
Iter:49| MAE:0.74438226| RMSE:0.94047034
Iter:50| MAE:0.74438304| RMSE:0.94046706
Iter:51| MAE:0.7443823| RMSE:0.9404661
Iter:52| MAE:0.744381| RMSE:0.9404645
Iter:53| MAE:0.74438137| RMSE:0.9404623
Iter:54| MAE:0.7443809| RMSE:0.9404605
Iter:55| MAE:0.74438053| RMSE:0.94046026
Iter:56| MAE:0.7443798| RMSE:0.9404592
Iter:57| MAE:0.74438| RMSE:0.94045895
Iter:58| MAE:0.7443792| RMSE:0.9404581
Iter:59| MAE:0.7443786| RMSE:0.9404568
Iter:60| MAE:0.7443789| RMSE:0.9404558
Iter:61| MAE:0.7443789| RMSE:0.94045514
Iter:62| MAE:0.7443782| RMSE:0.9404538
Iter:63| MAE:0.7443777| RMSE:0.94045305
Iter:64| MAE:0.7443778| RMSE:0.94045204
Iter:65| MAE:0.7443776| RMSE:0.9404516
Iter:66| MAE:0.7443768| RMSE:0.94045126
Iter:67| MAE:0.7443762| RMSE:0.9404509
Iter:68| MAE:0.74437594| RMSE:0.94045067
Iter:69| MAE:0.74437547| RMSE:0.94044995
Iter:70| MAE:0.74437505| RMSE:0.9404504
Iter:71| MAE:0.7443757| RMSE:0.94045043
Iter:72| MAE:0.74437565| RMSE:0.9404499
Iter:73| MAE:0.74437624| RMSE:0.94044954
Iter:74| MAE:0.74437577| RMSE:0.94044906
Iter:75| MAE:0.74437606| RMSE:0.9404493
Iter:76| MAE:0.7443762| RMSE:0.94044936
Iter:77| MAE:0.7443761| RMSE:0.9404487
Iter:78| MAE:0.7443766| RMSE:0.94044876
Iter:79| MAE:0.74437624| RMSE:0.9404487
Iter:80| MAE:0.7443768| RMSE:0.94044864
Iter:81| MAE:0.74437654| RMSE:0.94044864
Iter:82| MAE:0.7443763| RMSE:0.94044876
Iter:83| MAE:0.7443762| RMSE:0.9404485
Iter:84| MAE:0.7443761| RMSE:0.9404487
Iter:85| MAE:0.74437577| RMSE:0.9404488
Iter:86| MAE:0.7443762| RMSE:0.94044876
Iter:87| MAE:0.74437606| RMSE:0.9404485
Iter:88| MAE:0.7443762| RMSE:0.94044876
Iter:89| MAE:0.744376| RMSE:0.9404489
Iter:90| MAE:0.7443758| RMSE:0.9404487
Iter:91| MAE:0.7443757| RMSE:0.94044876
Iter:92| MAE:0.7443757| RMSE:0.9404487
Iter:93| MAE:0.7443757| RMSE:0.94044876
Iter:94| MAE:0.7443759| RMSE:0.94044864
Iter:95| MAE:0.74437577| RMSE:0.94044846
Iter:96| MAE:0.7443759| RMSE:0.94044846
Iter:97| MAE:0.7443759| RMSE:0.94044846
Iter:98| MAE:0.74437594| RMSE:0.9404485
Iter:99| MAE:0.74437624| RMSE:0.9404486
MAE:0.7443762| RMSE:0.9404485
