d: 20
lambda: 0.001
gamma: 0.8
rho: 0.0
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.5366| RMSE:2.7709925
MAE:2.492579| RMSE:2.7212498
MAE:1.3836465| RMSE:1.6830349
MAE:0.82094485| RMSE:1.0255663
MAE:0.7609707| RMSE:0.9844427
MAE:0.78013766| RMSE:0.9731672
MAE:0.7375833| RMSE:0.9512882
MAE:0.7476576| RMSE:0.9443692
MAE:0.7341634| RMSE:0.9393606
MAE:0.7377585| RMSE:0.9384196
MAE:0.7360749| RMSE:0.9380955
MAE:0.7360205| RMSE:0.93797225
MAE:0.73589885| RMSE:0.93783206
MAE:0.73577803| RMSE:0.9377034
MAE:0.7356834| RMSE:0.93759733
MAE:0.73558587| RMSE:0.93749356
MAE:0.73550373| RMSE:0.9374007
MAE:0.73544097| RMSE:0.9373315
MAE:0.735373| RMSE:0.9372521
MAE:0.735304| RMSE:0.9371748
MAE:0.735253| RMSE:0.93711394
MAE:0.7352047| RMSE:0.9370597
MAE:0.73515373| RMSE:0.93699837
MAE:0.73511523| RMSE:0.9369533
MAE:0.7350701| RMSE:0.9368995
MAE:0.7350421| RMSE:0.936865
MAE:0.73500556| RMSE:0.93681973
MAE:0.7349838| RMSE:0.9367916
MAE:0.7349555| RMSE:0.93675786
MAE:0.73493683| RMSE:0.93673563
MAE:0.7349123| RMSE:0.9367064
MAE:0.73489356| RMSE:0.93668705
MAE:0.7348794| RMSE:0.9366673
MAE:0.7348661| RMSE:0.93664974
MAE:0.7348524| RMSE:0.9366307
MAE:0.7348372| RMSE:0.93661594
MAE:0.73482394| RMSE:0.9365988
MAE:0.73481655| RMSE:0.9365888
MAE:0.73480785| RMSE:0.9365777
MAE:0.73479915| RMSE:0.93656844
MAE:0.73479176| RMSE:0.9365603
MAE:0.73478454| RMSE:0.9365506
MAE:0.73477834| RMSE:0.9365425
MAE:0.73477423| RMSE:0.93653756
MAE:0.7347682| RMSE:0.93653274
MAE:0.7347639| RMSE:0.9365254
MAE:0.7347602| RMSE:0.9365198
MAE:0.7347562| RMSE:0.93651664
MAE:0.73475415| RMSE:0.9365139
MAE:0.73475045| RMSE:0.936509
MAE:0.73474807| RMSE:0.93650585
MAE:0.73474574| RMSE:0.93650293
MAE:0.73474306| RMSE:0.93650085
MAE:0.73474234| RMSE:0.9364987
MAE:0.7347404| RMSE:0.9364959
MAE:0.7347389| RMSE:0.9364939
MAE:0.7347374| RMSE:0.9364919
MAE:0.73473626| RMSE:0.9364901
MAE:0.7347354| RMSE:0.93648875
MAE:0.7347341| RMSE:0.93648714
MAE:0.7347332| RMSE:0.93648595
MAE:0.73473185| RMSE:0.9364847
MAE:0.7347311| RMSE:0.93648446
MAE:0.73473| RMSE:0.9364835
MAE:0.73472863| RMSE:0.93648297
MAE:0.7347284| RMSE:0.93648237
MAE:0.7347284| RMSE:0.93648136
MAE:0.7347277| RMSE:0.93648136
MAE:0.7347273| RMSE:0.9364808
MAE:0.73472697| RMSE:0.9364803
MAE:0.7347265| RMSE:0.93648
MAE:0.73472637| RMSE:0.9364796
MAE:0.73472655| RMSE:0.9364792
MAE:0.73472655| RMSE:0.93647903
MAE:0.73472637| RMSE:0.93647873
MAE:0.7347263| RMSE:0.93647873
MAE:0.73472613| RMSE:0.9364783
MAE:0.7347262| RMSE:0.936478
MAE:0.7347259| RMSE:0.936478
MAE:0.7347257| RMSE:0.9364778
MAE:0.73472553| RMSE:0.9364777
MAE:0.7347256| RMSE:0.9364776
MAE:0.73472583| RMSE:0.93647766
MAE:0.73472553| RMSE:0.93647766
MAE:0.73472553| RMSE:0.9364776
MAE:0.73472553| RMSE:0.93647736
MAE:0.7347255| RMSE:0.9364774
MAE:0.7347254| RMSE:0.9364773
MAE:0.7347254| RMSE:0.93647724
MAE:0.7347254| RMSE:0.9364772
MAE:0.7347254| RMSE:0.93647724
MAE:0.73472536| RMSE:0.9364773
MAE:0.7347253| RMSE:0.9364772
MAE:0.73472524| RMSE:0.93647724
MAE:0.7347252| RMSE:0.9364771
