d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_3_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.5823426| RMSE:2.8127823
MAE:2.3022707| RMSE:2.5125272
MAE:0.85891354| RMSE:1.1274034
MAE:1.0186776| RMSE:1.2064247
MAE:0.870849| RMSE:1.1402445
MAE:0.9127308| RMSE:1.0948824
MAE:0.786292| RMSE:1.018771
MAE:0.78721595| RMSE:0.9785507
MAE:0.77027714| RMSE:0.9775687
MAE:0.77225477| RMSE:0.9746838
MAE:0.7717594| RMSE:0.97499937
MAE:0.7717891| RMSE:0.9749758
MAE:0.7717918| RMSE:0.97496957
MAE:0.7717751| RMSE:0.97497314
MAE:0.77177674| RMSE:0.97497344
MAE:0.77177143| RMSE:0.97497195
MAE:0.77177584| RMSE:0.9749795
MAE:0.77175915| RMSE:0.9749675
MAE:0.77175915| RMSE:0.9749654
MAE:0.77174544| RMSE:0.9749509
MAE:0.77174956| RMSE:0.97494876
MAE:0.77176213| RMSE:0.9749577
MAE:0.77175653| RMSE:0.9749641
MAE:0.7717559| RMSE:0.974963
MAE:0.7717618| RMSE:0.974966
MAE:0.7717644| RMSE:0.97496945
MAE:0.7717631| RMSE:0.97496367
MAE:0.7717618| RMSE:0.9749652
MAE:0.7717691| RMSE:0.9749647
MAE:0.77177036| RMSE:0.9749639
MAE:0.7717769| RMSE:0.97496945
MAE:0.77177745| RMSE:0.97496855
MAE:0.7717807| RMSE:0.9749697
MAE:0.77177817| RMSE:0.97497076
MAE:0.771778| RMSE:0.9749777
MAE:0.77178144| RMSE:0.97497565
MAE:0.77178293| RMSE:0.9749775
MAE:0.77178144| RMSE:0.974976
MAE:0.77178043| RMSE:0.9749752
MAE:0.77177924| RMSE:0.9749756
MAE:0.7717784| RMSE:0.97497654
MAE:0.77177787| RMSE:0.97497594
MAE:0.771779| RMSE:0.9749757
MAE:0.7717775| RMSE:0.9749741
MAE:0.77177846| RMSE:0.97497416
MAE:0.77178| RMSE:0.9749749
MAE:0.77177787| RMSE:0.974975
MAE:0.771777| RMSE:0.97497445
MAE:0.7717782| RMSE:0.97497517
MAE:0.7717773| RMSE:0.97497433
MAE:0.7717784| RMSE:0.9749743
MAE:0.77177966| RMSE:0.97497433
MAE:0.7717802| RMSE:0.97497433
MAE:0.7717779| RMSE:0.97497374
MAE:0.7717782| RMSE:0.9749733
MAE:0.77177745| RMSE:0.97497493
MAE:0.77177787| RMSE:0.9749739
MAE:0.7717772| RMSE:0.9749742
MAE:0.77177775| RMSE:0.974975
MAE:0.7717777| RMSE:0.97497505
MAE:0.7717771| RMSE:0.97497547
MAE:0.7717781| RMSE:0.974975
MAE:0.77177864| RMSE:0.9749752
MAE:0.77177745| RMSE:0.9749753
MAE:0.7717781| RMSE:0.97497547
MAE:0.7717785| RMSE:0.97497535
MAE:0.77177894| RMSE:0.97497463
MAE:0.7717787| RMSE:0.9749745
MAE:0.7717792| RMSE:0.9749745
MAE:0.7717787| RMSE:0.97497475
MAE:0.7717787| RMSE:0.97497433
MAE:0.7717787| RMSE:0.97497463
MAE:0.771779| RMSE:0.9749743
MAE:0.77177894| RMSE:0.9749742
MAE:0.7717791| RMSE:0.97497386
MAE:0.7717789| RMSE:0.9749739
MAE:0.7717791| RMSE:0.97497416
MAE:0.77177924| RMSE:0.9749743
MAE:0.7717794| RMSE:0.97497416
MAE:0.77177924| RMSE:0.9749741
MAE:0.77177924| RMSE:0.9749741
MAE:0.7717792| RMSE:0.9749739
MAE:0.771779| RMSE:0.9749741
MAE:0.771779| RMSE:0.97497386
MAE:0.77177894| RMSE:0.974974
MAE:0.77177864| RMSE:0.97497404
MAE:0.7717787| RMSE:0.974974
MAE:0.77177864| RMSE:0.974974
MAE:0.77177876| RMSE:0.97497386
MAE:0.77177864| RMSE:0.9749739
MAE:0.77177876| RMSE:0.97497386
MAE:0.77177876| RMSE:0.974974
MAE:0.7717785| RMSE:0.97497386
MAE:0.7717785| RMSE:0.974974
