d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FSVD_0.001_3_10_15_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
start_hybrid_averaging_iterations: 10
local_train_iterations: 15
Iter:0| MAE:2.53195| RMSE:2.7700632
Iter:1| MAE:0.9328644| RMSE:1.1791064
Iter:2| MAE:0.8550421| RMSE:1.0888588
Iter:3| MAE:0.8207904| RMSE:1.0454588
Iter:4| MAE:0.7974428| RMSE:1.0070602
Iter:5| MAE:0.79644585| RMSE:1.0092671
Iter:6| MAE:0.7938329| RMSE:1.00629
Iter:7| MAE:0.7856947| RMSE:0.9946667
Iter:8| MAE:0.78168684| RMSE:0.9909005
Iter:9| MAE:0.7795814| RMSE:0.98774856
Iter:10| MAE:0.775998| RMSE:0.9832142
Iter:11| MAE:0.77226394| RMSE:0.97965854
Iter:12| MAE:0.74673235| RMSE:0.9459739
Iter:13| MAE:0.74149436| RMSE:0.93910056
Iter:14| MAE:0.7381467| RMSE:0.9354932
Iter:15| MAE:0.7338139| RMSE:0.931447
Iter:16| MAE:0.7325802| RMSE:0.9300796
Iter:17| MAE:0.73026556| RMSE:0.9282056
Iter:18| MAE:0.72859275| RMSE:0.9262127
Iter:19| MAE:0.7274616| RMSE:0.92456675
Iter:20| MAE:0.7272133| RMSE:0.92393005
Iter:21| MAE:0.7262723| RMSE:0.922669
Iter:22| MAE:0.726148| RMSE:0.9220956
Iter:23| MAE:0.7258479| RMSE:0.92154866
Iter:24| MAE:0.72419083| RMSE:0.9202749
Iter:25| MAE:0.7241728| RMSE:0.92021924
Iter:26| MAE:0.7242051| RMSE:0.92035544
Iter:27| MAE:0.7242213| RMSE:0.9202779
Iter:28| MAE:0.72353077| RMSE:0.9199884
Iter:29| MAE:0.72312653| RMSE:0.91945493
Iter:30| MAE:0.7229256| RMSE:0.91921955
Iter:31| MAE:0.72286814| RMSE:0.9189787
Iter:32| MAE:0.72251695| RMSE:0.9186693
Iter:33| MAE:0.72237694| RMSE:0.9181811
Iter:34| MAE:0.7221049| RMSE:0.9176892
Iter:35| MAE:0.7222617| RMSE:0.9176417
Iter:36| MAE:0.7220595| RMSE:0.9177404
Iter:37| MAE:0.72172195| RMSE:0.91748863
Iter:38| MAE:0.7216958| RMSE:0.9172004
Iter:39| MAE:0.7219219| RMSE:0.9171671
Iter:40| MAE:0.72176135| RMSE:0.9172009
Iter:41| MAE:0.7219098| RMSE:0.9172159
Iter:42| MAE:0.7218042| RMSE:0.9171217
Iter:43| MAE:0.7217462| RMSE:0.9171536
