d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.5366| RMSE:2.7709925
Iter:1| MAE:1.6127701| RMSE:2.0274272
Iter:2| MAE:1.1390654| RMSE:1.5155671
Iter:3| MAE:0.91374344| RMSE:1.2216556
Iter:4| MAE:0.8155221| RMSE:1.0543021
Iter:5| MAE:0.78121316| RMSE:0.9945977
Iter:6| MAE:0.77766824| RMSE:0.9885581
Iter:7| MAE:0.7768756| RMSE:0.9857457
Iter:8| MAE:0.7736539| RMSE:0.9801446
Iter:9| MAE:0.7744391| RMSE:0.97983825
Iter:10| MAE:0.7770899| RMSE:0.9821518
Iter:11| MAE:0.77434546| RMSE:0.97987616
Iter:12| MAE:0.77227235| RMSE:0.97762287
Iter:13| MAE:0.77323264| RMSE:0.9790046
Iter:14| MAE:0.7731417| RMSE:0.97811013
Iter:15| MAE:0.7728962| RMSE:0.9780532
Iter:16| MAE:0.7730404| RMSE:0.978396
Iter:17| MAE:0.7707236| RMSE:0.975905
Iter:18| MAE:0.77266186| RMSE:0.97724134
Iter:19| MAE:0.7707546| RMSE:0.9756643
Iter:20| MAE:0.7717584| RMSE:0.97674805
Iter:21| MAE:0.77181023| RMSE:0.97687596
Iter:22| MAE:0.77095795| RMSE:0.9755291
Iter:23| MAE:0.77217793| RMSE:0.9763703
Iter:24| MAE:0.7718961| RMSE:0.97627664
Iter:25| MAE:0.77171636| RMSE:0.9758046
Iter:26| MAE:0.77229834| RMSE:0.97607577
Iter:27| MAE:0.77204764| RMSE:0.9758449
Iter:28| MAE:0.7713861| RMSE:0.9755879
Iter:29| MAE:0.7720551| RMSE:0.9759707
Iter:30| MAE:0.77149117| RMSE:0.97550136
Iter:31| MAE:0.77220184| RMSE:0.9761241
Iter:32| MAE:0.7721397| RMSE:0.9760562
Iter:33| MAE:0.77167493| RMSE:0.97558373
Iter:34| MAE:0.77158964| RMSE:0.9753598
Iter:35| MAE:0.77137244| RMSE:0.9751569
Iter:36| MAE:0.77117115| RMSE:0.97498864
Iter:37| MAE:0.7712778| RMSE:0.9749453
Iter:38| MAE:0.7711223| RMSE:0.9747492
Iter:39| MAE:0.77125454| RMSE:0.97488236
Iter:40| MAE:0.77142346| RMSE:0.97495687
Iter:41| MAE:0.77127725| RMSE:0.97478384
Iter:42| MAE:0.7713462| RMSE:0.9748786
Iter:43| MAE:0.7713716| RMSE:0.97482115
Iter:44| MAE:0.7713874| RMSE:0.97477853
Iter:45| MAE:0.77151287| RMSE:0.9748905
Iter:46| MAE:0.7714397| RMSE:0.97481835
Iter:47| MAE:0.77152884| RMSE:0.9748679
Iter:48| MAE:0.77150464| RMSE:0.97486866
Iter:49| MAE:0.77145535| RMSE:0.974848
Iter:50| MAE:0.77137375| RMSE:0.9747895
Iter:51| MAE:0.77132803| RMSE:0.9747456
Iter:52| MAE:0.77132845| RMSE:0.97473514
Iter:53| MAE:0.77140206| RMSE:0.97478837
Iter:54| MAE:0.77135| RMSE:0.97473395
Iter:55| MAE:0.7713551| RMSE:0.97472805
Iter:56| MAE:0.7713146| RMSE:0.974688
Iter:57| MAE:0.77127916| RMSE:0.974661
Iter:58| MAE:0.77129066| RMSE:0.9746682
Iter:59| MAE:0.77127844| RMSE:0.97466356
Iter:60| MAE:0.7712923| RMSE:0.97467494
Iter:61| MAE:0.7712878| RMSE:0.9746645
Iter:62| MAE:0.7712965| RMSE:0.97466606
Iter:63| MAE:0.7712785| RMSE:0.97465515
Iter:64| MAE:0.7712737| RMSE:0.97465557
Iter:65| MAE:0.77127904| RMSE:0.974657
Iter:66| MAE:0.7712754| RMSE:0.9746439
Iter:67| MAE:0.7712641| RMSE:0.9746336
Iter:68| MAE:0.7712557| RMSE:0.9746281
Iter:69| MAE:0.77123964| RMSE:0.97461605
Iter:70| MAE:0.7712319| RMSE:0.97461426
Iter:71| MAE:0.7712236| RMSE:0.9746069
Iter:72| MAE:0.7712306| RMSE:0.9746071
Iter:73| MAE:0.7712336| RMSE:0.9746085
Iter:74| MAE:0.77123684| RMSE:0.9746137
Iter:75| MAE:0.77124226| RMSE:0.9746167
Iter:76| MAE:0.77124214| RMSE:0.9746162
Iter:77| MAE:0.7712381| RMSE:0.9746126
Iter:78| MAE:0.7712371| RMSE:0.97461206
Iter:79| MAE:0.771232| RMSE:0.9746069
Iter:80| MAE:0.77122885| RMSE:0.9746041
Iter:81| MAE:0.7712266| RMSE:0.9746007
Iter:82| MAE:0.771229| RMSE:0.9746029
Iter:83| MAE:0.771229| RMSE:0.97460246
Iter:84| MAE:0.7712301| RMSE:0.97460353
Iter:85| MAE:0.7712282| RMSE:0.9746015
Iter:86| MAE:0.7712255| RMSE:0.9746011
Iter:87| MAE:0.77122265| RMSE:0.97459906
Iter:88| MAE:0.7712207| RMSE:0.97459745
Iter:89| MAE:0.7712218| RMSE:0.9745978
Iter:90| MAE:0.7712207| RMSE:0.9745978
Iter:91| MAE:0.77122176| RMSE:0.9745967
Iter:92| MAE:0.77122176| RMSE:0.97459614
Iter:93| MAE:0.7712214| RMSE:0.97459453
Iter:94| MAE:0.77122253| RMSE:0.9745955
Iter:95| MAE:0.7712221| RMSE:0.9745955
Iter:96| MAE:0.77122146| RMSE:0.9745957
Iter:97| MAE:0.77122283| RMSE:0.97459567
Iter:98| MAE:0.7712226| RMSE:0.97459584
Iter:99| MAE:0.7712235| RMSE:0.97459596
MAE:0.7712237| RMSE:0.9745961
