d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_2_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.5821278| RMSE:2.813787
Iter:1| MAE:1.537455| RMSE:1.9673587
Iter:2| MAE:1.0439005| RMSE:1.4110622
Iter:3| MAE:0.8639295| RMSE:1.1489178
Iter:4| MAE:0.8034473| RMSE:1.0410959
Iter:5| MAE:0.77935874| RMSE:0.9998523
Iter:6| MAE:0.76562095| RMSE:0.9747356
Iter:7| MAE:0.7579969| RMSE:0.96320647
Iter:8| MAE:0.75462013| RMSE:0.95847505
Iter:9| MAE:0.7503057| RMSE:0.95328087
Iter:10| MAE:0.7462685| RMSE:0.9477839
Iter:11| MAE:0.74368143| RMSE:0.9446007
Iter:12| MAE:0.742576| RMSE:0.9433707
Iter:13| MAE:0.7400186| RMSE:0.9405747
Iter:14| MAE:0.73845345| RMSE:0.9388016
Iter:15| MAE:0.73778725| RMSE:0.93761146
Iter:16| MAE:0.7357626| RMSE:0.9356895
Iter:17| MAE:0.7345808| RMSE:0.9342293
Iter:18| MAE:0.7336107| RMSE:0.93308043
Iter:19| MAE:0.73241174| RMSE:0.9317745
Iter:20| MAE:0.7318442| RMSE:0.9308381
Iter:21| MAE:0.7310362| RMSE:0.93017286
Iter:22| MAE:0.7300866| RMSE:0.9288205
Iter:23| MAE:0.7296803| RMSE:0.9280799
Iter:24| MAE:0.7291965| RMSE:0.92744577
Iter:25| MAE:0.7284694| RMSE:0.9265541
Iter:26| MAE:0.72815835| RMSE:0.92614543
Iter:27| MAE:0.7276451| RMSE:0.9255182
Iter:28| MAE:0.7273059| RMSE:0.92493606
Iter:29| MAE:0.7270169| RMSE:0.9246157
Iter:30| MAE:0.72676927| RMSE:0.92419773
Iter:31| MAE:0.7264657| RMSE:0.92373073
Iter:32| MAE:0.7263716| RMSE:0.923562
Iter:33| MAE:0.7259763| RMSE:0.92315143
Iter:34| MAE:0.72589535| RMSE:0.9229631
Iter:35| MAE:0.7256923| RMSE:0.92272943
Iter:36| MAE:0.72547483| RMSE:0.922396
Iter:37| MAE:0.72532064| RMSE:0.9221997
Iter:38| MAE:0.7252276| RMSE:0.92197734
Iter:39| MAE:0.7251191| RMSE:0.9217913
Iter:40| MAE:0.7250288| RMSE:0.9215915
Iter:41| MAE:0.7249031| RMSE:0.9214356
Iter:42| MAE:0.7248246| RMSE:0.92132455
Iter:43| MAE:0.7247444| RMSE:0.92122215
Iter:44| MAE:0.7247043| RMSE:0.9211205
Iter:45| MAE:0.7246319| RMSE:0.92100734
Iter:46| MAE:0.7245681| RMSE:0.9209202
Iter:47| MAE:0.72453475| RMSE:0.9208323
Iter:48| MAE:0.7244974| RMSE:0.92075443
Iter:49| MAE:0.7244577| RMSE:0.92069376
Iter:50| MAE:0.7244433| RMSE:0.9206319
Iter:51| MAE:0.7243924| RMSE:0.920582
Iter:52| MAE:0.72433764| RMSE:0.9205205
Iter:53| MAE:0.72431815| RMSE:0.9204903
Iter:54| MAE:0.7242877| RMSE:0.92042965
Iter:55| MAE:0.72426164| RMSE:0.92038995
Iter:56| MAE:0.72422683| RMSE:0.92034113
Iter:57| MAE:0.7242113| RMSE:0.92029905
Iter:58| MAE:0.72419167| RMSE:0.9202629
Iter:59| MAE:0.7241856| RMSE:0.92023605
Iter:60| MAE:0.72415847| RMSE:0.9202208
Iter:61| MAE:0.7241462| RMSE:0.9201966
