d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FSVD_0.001_1_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 1.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:0.90822953| RMSE:1.1616151
Iter:2| MAE:0.8310756| RMSE:1.0677825
Iter:3| MAE:0.7846836| RMSE:1.0078431
Iter:4| MAE:0.7504831| RMSE:0.9551979
Iter:5| MAE:0.74221903| RMSE:0.9511001
Iter:6| MAE:0.7326678| RMSE:0.94150096
Iter:7| MAE:0.72881556| RMSE:0.94055593
Iter:8| MAE:0.7214099| RMSE:0.92918557
Iter:9| MAE:0.7170608| RMSE:0.92334914
Iter:10| MAE:0.7120305| RMSE:0.911532
Iter:11| MAE:0.71057117| RMSE:0.9112716
Iter:12| MAE:0.708005| RMSE:0.90859133
Iter:13| MAE:0.7056176| RMSE:0.9043338
Iter:14| MAE:0.7048996| RMSE:0.9054335
Iter:15| MAE:0.7040552| RMSE:0.900347
Iter:16| MAE:0.70229566| RMSE:0.90103436
Iter:17| MAE:0.70101637| RMSE:0.90024817
Iter:18| MAE:0.70034575| RMSE:0.8985722
Iter:19| MAE:0.69964504| RMSE:0.8986385
Iter:20| MAE:0.69844115| RMSE:0.8958324
Iter:21| MAE:0.69799894| RMSE:0.89404327
Iter:22| MAE:0.6975263| RMSE:0.8948345
Iter:23| MAE:0.69717664| RMSE:0.89331377
Iter:24| MAE:0.69668853| RMSE:0.89216477
Iter:25| MAE:0.696029| RMSE:0.8920923
Iter:26| MAE:0.6951336| RMSE:0.8905058
Iter:27| MAE:0.69497997| RMSE:0.8901426
Iter:28| MAE:0.69514877| RMSE:0.8904321
Iter:29| MAE:0.6946| RMSE:0.8889101
Iter:30| MAE:0.6943468| RMSE:0.88882864
Iter:31| MAE:0.6940729| RMSE:0.888668
Iter:32| MAE:0.69384634| RMSE:0.88815504
Iter:33| MAE:0.6939368| RMSE:0.88824284
Iter:34| MAE:0.6935763| RMSE:0.8873452
Iter:35| MAE:0.6935676| RMSE:0.8876021
Iter:36| MAE:0.69354326| RMSE:0.887807
Iter:37| MAE:0.6933364| RMSE:0.8874447
Iter:38| MAE:0.69293743| RMSE:0.88691205
Iter:39| MAE:0.69301516| RMSE:0.8869555
Iter:40| MAE:0.6927568| RMSE:0.8865015
Iter:41| MAE:0.6925661| RMSE:0.8864255
Iter:42| MAE:0.69280875| RMSE:0.88629496
Iter:43| MAE:0.6926477| RMSE:0.8860689
Iter:44| MAE:0.6926165| RMSE:0.88592595
Iter:45| MAE:0.69271743| RMSE:0.88587797
Iter:46| MAE:0.6926102| RMSE:0.88570124
Iter:47| MAE:0.69255745| RMSE:0.885789
Iter:48| MAE:0.6926299| RMSE:0.8855477
Iter:49| MAE:0.6925766| RMSE:0.88550216
Iter:50| MAE:0.69231033| RMSE:0.88542897
Iter:51| MAE:0.6924357| RMSE:0.88536716
Iter:52| MAE:0.69242984| RMSE:0.88538325
Iter:53| MAE:0.6923404| RMSE:0.8853801
Iter:54| MAE:0.69239134| RMSE:0.8853639
Iter:55| MAE:0.69234127| RMSE:0.88536465
Iter:56| MAE:0.69228923| RMSE:0.8852141
Iter:57| MAE:0.6923204| RMSE:0.88526493
Iter:58| MAE:0.6922857| RMSE:0.8852439
Iter:59| MAE:0.6922644| RMSE:0.88522077
Iter:60| MAE:0.6922835| RMSE:0.88513434
Iter:61| MAE:0.6922406| RMSE:0.88503826
Iter:62| MAE:0.69229627| RMSE:0.88528824
Iter:63| MAE:0.6923808| RMSE:0.88515896
Iter:64| MAE:0.6922954| RMSE:0.8851459
Iter:65| MAE:0.69229424| RMSE:0.8850856
Iter:66| MAE:0.6922712| RMSE:0.88507503
Iter:67| MAE:0.6922475| RMSE:0.8850495
Iter:68| MAE:0.6922367| RMSE:0.8851055
Iter:69| MAE:0.6922391| RMSE:0.885073
Iter:70| MAE:0.6922022| RMSE:0.88504016
Iter:71| MAE:0.6922307| RMSE:0.8850331
Iter:72| MAE:0.6922233| RMSE:0.88500565
Iter:73| MAE:0.69221073| RMSE:0.88503295
Iter:74| MAE:0.6922191| RMSE:0.88501954
Iter:75| MAE:0.6922283| RMSE:0.88506466
Iter:76| MAE:0.6922167| RMSE:0.8850394
Iter:77| MAE:0.6922135| RMSE:0.8850014
Iter:78| MAE:0.6922156| RMSE:0.8849873
Iter:79| MAE:0.69220763| RMSE:0.8850127
Iter:80| MAE:0.6922213| RMSE:0.88495004
Iter:81| MAE:0.69220924| RMSE:0.8849752
Iter:82| MAE:0.69220066| RMSE:0.8849958
Iter:83| MAE:0.692202| RMSE:0.88499
Iter:84| MAE:0.69220185| RMSE:0.88500524
Iter:85| MAE:0.69221145| RMSE:0.8849463
Iter:86| MAE:0.69220424| RMSE:0.88495487
Iter:87| MAE:0.69220597| RMSE:0.884968
Iter:88| MAE:0.6922027| RMSE:0.88493353
Iter:89| MAE:0.6921955| RMSE:0.88491535
Iter:90| MAE:0.69219524| RMSE:0.88491434
Iter:91| MAE:0.6922008| RMSE:0.8848872
Iter:92| MAE:0.692215| RMSE:0.8848616
Iter:93| MAE:0.69221824| RMSE:0.8848518
Iter:94| MAE:0.6922239| RMSE:0.88484895
Iter:95| MAE:0.6922312| RMSE:0.8848087
Iter:96| MAE:0.6922344| RMSE:0.884795
Iter:97| MAE:0.69225454| RMSE:0.88475704
Iter:98| MAE:0.69227064| RMSE:0.8847128
Iter:99| MAE:0.69227535| RMSE:0.88469493
MAE:0.6922772| RMSE:0.88466805
