d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FSVD_0.001_3_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.53195| RMSE:2.7700632
Iter:1| MAE:0.9394926| RMSE:1.2007157
Iter:2| MAE:0.8462131| RMSE:1.0774161
Iter:3| MAE:0.8180847| RMSE:1.0312414
Iter:4| MAE:0.80675983| RMSE:1.0232255
Iter:5| MAE:0.7964452| RMSE:1.0129669
Iter:6| MAE:0.7899751| RMSE:0.99732256
Iter:7| MAE:0.78123873| RMSE:0.9898079
Iter:8| MAE:0.7818405| RMSE:0.98852515
Iter:9| MAE:0.7828162| RMSE:0.98844725
Iter:10| MAE:0.7760209| RMSE:0.98400635
Iter:11| MAE:0.77288663| RMSE:0.98009837
Iter:12| MAE:0.7698271| RMSE:0.97521156
Iter:13| MAE:0.7718925| RMSE:0.9770745
Iter:14| MAE:0.7681948| RMSE:0.97457486
Iter:15| MAE:0.7682705| RMSE:0.9758685
Iter:16| MAE:0.7676523| RMSE:0.97290295
Iter:17| MAE:0.7674932| RMSE:0.972073
Iter:18| MAE:0.7657314| RMSE:0.9719602
Iter:19| MAE:0.7661713| RMSE:0.97063345
Iter:20| MAE:0.7653686| RMSE:0.97042227
Iter:21| MAE:0.7637533| RMSE:0.9688412
Iter:22| MAE:0.76458836| RMSE:0.9688023
Iter:23| MAE:0.76348364| RMSE:0.96725357
Iter:24| MAE:0.7625054| RMSE:0.96707577
Iter:25| MAE:0.7632773| RMSE:0.96701604
Iter:26| MAE:0.76181185| RMSE:0.965881
Iter:27| MAE:0.7603988| RMSE:0.96431047
Iter:28| MAE:0.7610846| RMSE:0.9653634
Iter:29| MAE:0.7625049| RMSE:0.96632177
Iter:30| MAE:0.76108783| RMSE:0.9652238
Iter:31| MAE:0.7606219| RMSE:0.9644008
Iter:32| MAE:0.7614254| RMSE:0.9647947
Iter:33| MAE:0.7613725| RMSE:0.96465224
Iter:34| MAE:0.7609655| RMSE:0.964394
Iter:35| MAE:0.7606211| RMSE:0.96400946
Iter:36| MAE:0.7608019| RMSE:0.96392953
Iter:37| MAE:0.76036865| RMSE:0.96372044
Iter:38| MAE:0.7606229| RMSE:0.96376675
Iter:39| MAE:0.7610369| RMSE:0.9639975
Iter:40| MAE:0.7609041| RMSE:0.96394235
Iter:41| MAE:0.76103854| RMSE:0.9639632
Iter:42| MAE:0.7605605| RMSE:0.963673
Iter:43| MAE:0.76053566| RMSE:0.96361864
Iter:44| MAE:0.76025784| RMSE:0.963436
Iter:45| MAE:0.7602114| RMSE:0.96352595
Iter:46| MAE:0.7602203| RMSE:0.9633555
Iter:47| MAE:0.7600971| RMSE:0.96319246
Iter:48| MAE:0.76000935| RMSE:0.962969
Iter:49| MAE:0.76004314| RMSE:0.96299124
Iter:50| MAE:0.75997484| RMSE:0.962856
Iter:51| MAE:0.7597812| RMSE:0.9629344
Iter:52| MAE:0.75977683| RMSE:0.96287507
Iter:53| MAE:0.75971186| RMSE:0.9628267
Iter:54| MAE:0.7596695| RMSE:0.9627753
Iter:55| MAE:0.7597757| RMSE:0.96274275
Iter:56| MAE:0.7596995| RMSE:0.96275795
Iter:57| MAE:0.7597399| RMSE:0.9628361
Iter:58| MAE:0.75974244| RMSE:0.96277815
Iter:59| MAE:0.75973195| RMSE:0.96268266
Iter:60| MAE:0.7597347| RMSE:0.96274257
Iter:61| MAE:0.7596829| RMSE:0.9627379
Iter:62| MAE:0.75969803| RMSE:0.9626724
Iter:63| MAE:0.75965744| RMSE:0.9626289
Iter:64| MAE:0.75963837| RMSE:0.96262604
Iter:65| MAE:0.7596671| RMSE:0.9626167
Iter:66| MAE:0.7596759| RMSE:0.9626239
Iter:67| MAE:0.7596718| RMSE:0.96264565
Iter:68| MAE:0.7596699| RMSE:0.96261567
Iter:69| MAE:0.75966984| RMSE:0.9626129
Iter:70| MAE:0.7596742| RMSE:0.9626122
Iter:71| MAE:0.7596793| RMSE:0.9626267
Iter:72| MAE:0.75969315| RMSE:0.9626332
Iter:73| MAE:0.75970554| RMSE:0.96262306
Iter:74| MAE:0.75968367| RMSE:0.9626232
Iter:75| MAE:0.759684| RMSE:0.962642
Iter:76| MAE:0.7596878| RMSE:0.9626189
Iter:77| MAE:0.7596982| RMSE:0.96261007
Iter:78| MAE:0.7597131| RMSE:0.9626008
Iter:79| MAE:0.75972354| RMSE:0.962581
Iter:80| MAE:0.7597018| RMSE:0.9625733
Iter:81| MAE:0.7597104| RMSE:0.9625731
Iter:82| MAE:0.75970984| RMSE:0.96256846
Iter:83| MAE:0.7597126| RMSE:0.9625588
Iter:84| MAE:0.75971574| RMSE:0.96254873
Iter:85| MAE:0.7597234| RMSE:0.9625368
Iter:86| MAE:0.7597328| RMSE:0.9625333
Iter:87| MAE:0.75974214| RMSE:0.9625236
Iter:88| MAE:0.7597542| RMSE:0.96251655
Iter:89| MAE:0.75975996| RMSE:0.9625005
Iter:90| MAE:0.7597745| RMSE:0.96249086
Iter:91| MAE:0.75978446| RMSE:0.96247786
Iter:92| MAE:0.7597903| RMSE:0.96246445
Iter:93| MAE:0.7597988| RMSE:0.9624511
Iter:94| MAE:0.75981045| RMSE:0.9624374
Iter:95| MAE:0.75982624| RMSE:0.96242034
Iter:96| MAE:0.7598308| RMSE:0.96240574
Iter:97| MAE:0.7598416| RMSE:0.9623896
Iter:98| MAE:0.7598508| RMSE:0.96237826
Iter:99| MAE:0.75986207| RMSE:0.96236414
MAE:0.7598751| RMSE:0.9623479
